"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Casa | Fora";"Casa | Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Casa | Fora";"Casa | Fora"
"Mongolia";"MNG";"Premier League";"01-07-2026 05:00";"NS";"Khovd Western";"";"";"Ulaangom City";"2.1 | 1.8";"2.3 | 2";"4.1";"3.5";"65";"60";"35";"25";"3.3";"3.9";"2.1 | 2";"1.9 | 1.8"
"Mongolia";"MNG";"Premier League";"01-07-2026 08:00";"NS";"Khovd";"";"";"Khoromkhon Club";"1.3 | 1.3";"1.2 | 1.5";"2.6";"3.5";"40";"25";"20";"5";"3.3";"2.6";"1.1 | 1.5";"1.2 | 1.3"
"Mozambique";"MOZ";"Mocambola";"01-07-2026 09:00";"NS";"Songo";"";"";"AD Pemba";"";"";"";"4.3";"";"";"";"";"4.1";"";"";""
"Mozambique";"MOZ";"Mocambola";"01-07-2026 09:45";"NS";"Ferroviario Beira";"";"";"Ferroviário Nacala";"";"";"";"4.3";"";"";"";"";"4.1";"";"";""
"Mozambique";"MOZ";"Mocambola";"01-07-2026 09:45";"NS";"Chingale de Tete";"";"";"Baía de Pemba";"";"";"";"4.3";"";"";"";"";"4.1";"";"";""
"New Zealand";"NZL";"National League";"01-07-2026 04:30";"NS";"Auckland City";"";"";"Auckland II";"1.9 | 1.7";"1.7 | 2.6";"3.9";"3.1";"72";"62";"34";"11";"3";"3.8";"1.7 | 2.4";"1.9 | 1.6"
"Russia";"RUS";"FNL 2 - Group 3";"01-07-2026 10:00";"NS";"Zenit Penza";"";"";"Salyut Belgorod";"2.4 | 1.6";"2.3 | 1.5";"3.9";"4";"80";"60";"45";"10";"3.9";"3.9";"2.3 | 1.5";"2.4 | 1.6"
"Russia";"RUS";"FNL 2 - Group 4";"01-07-2026 07:00";"NS";"Krylya Sovetov Samara II";"";"";"Chelyabinsk II";"1.7 | 2.2";"2 | 2.2";"4.1";"4.3";"84";"64";"36";"20";"4.2";"4";"2 | 2.2";"1.7 | 2.1"
"Russia";"RUS";"FNL 2 - Group 4";"01-07-2026 08:30";"NS";"Dinamo Barnaul";"";"";"Orenburg II";"1.9 | 2.3";"1.6 | 2.6";"4.2";"4.3";"68";"57";"46";"21";"4.2";"4";"1.6 | 2.4";"1.9 | 2.3"
"Russia";"RUS";"FNL 2 - Group 4";"01-07-2026 09:00";"NS";"KDV";"";"";"Akron II";"1.8 | 1.4";"1.8 | 2.2";"3.6";"4.3";"62";"56";"44";"33";"4.2";"3.5";"1.8 | 2.1";"1.8 | 1.3"
"Russia";"RUS";"FNL 2 - Group 4";"01-07-2026 10:00";"NS";"Rubin Kazan' II";"";"";"Nosta";"2.4 | 1.8";"1.4 | 2.6";"4.1";"4.3";"68";"68";"50";"29";"4.2";"4.1";"1.3 | 2.6";"2.4 | 1.8"
"Russia";"RUS";"FNL 2 - Group 4";"01-07-2026 11:00";"NS";"Zenit Izhevsk";"";"";"Pobeda Nizhny Novgorod";"3.1 | 2.3";"2.3 | 2";"4.8";"4.3";"80";"69";"64";"54";"4.2";"4.7";"2.2 | 2";"2.9 | 2.3"
"Russia";"RUS";"FNL 2 - Group 4";"01-07-2026 12:00";"NS";"Khimik Dzerzhinsk";"";"";"Ural 2";"1.7 | 1.9";"1.8 | 2.1";"3.7";"4.3";"69";"64";"36";"15";"4.2";"3.6";"1.7 | 2.1";"1.4 | 1.9"
"Sweden";"SWE";"Ettan: South";"01-07-2026 14:00";"NS";"Eskilsminne";"";"";"Kristianstad";"1.5 | 2.2";"1.9 | 1.4";"3.5";"3";"85";"55";"20";"5";"2.9";"3.3";"1.8 | 1.3";"1.5 | 2"
"Sweden";"SWE";"Division 2: Norra Gotaland";"01-07-2026 14:30";"NS";"Husqvarna";"";"";"Lidköping";"1.1 | 1";"1.1 | 1.6";"2.4";"2.9";"50";"32";"12";"6";"2.8";"2.3";"1 | 1.6";"1.1 | 0.9"
"United States";"USA";"USL League Two";"01-07-2026 17:00";"NS";"Project 51O";"";"";"San Francisco City";"2.7 | 2";"1.2 | 2.8";"4.3";"4";"74";"65";"65";"18";"3.8";"4";"1 | 2.6";"2.3 | 2"
"United States";"USA";"USL League Two";"01-07-2026 18:00";"NS";"New England SC";"";"";"Vermont Green";"2.1 | 0";"1.6 | 1.3";"2.5";"4";"36";"22";"14";"7";"3.8";"2.4";"1.6 | 1.3";"2 | 0"
"United States";"USA";"USL League Two";"01-07-2026 19:00";"NS";"Louisville City II";"";"";"Northern Indiana";"2 | 3.3";"3.3 | 1.7";"5.2";"4";"100";"84";"67";"33";"3.8";"5.2";"3.3 | 1.7";"2 | 3.3"
"United States";"USA";"USL League Two";"01-07-2026 19:00";"NS";"Steel City";"";"";"Cleveland Force";"2.5 | 1.5";"1.5 | 2.5";"4";"4";"100";"50";"38";"12";"3.8";"3.6";"1.5 | 2.5";"2 | 1.2"
"United States";"USA";"USL League Two";"01-07-2026 19:00";"NS";"Kings Hammer Columbus";"";"";"West Virginia Chaos";"";"";"";"4";"";"";"";"";"3.8";"";"";""
"United States";"USA";"USL League Two";"01-07-2026 19:00";"NS";"North Carolina II";"";"";"Tobacco Road";"1.7 | 1.8";"2 | 2.8";"4.1";"4";"71";"58";"58";"42";"3.8";"3.9";"1.7 | 2.8";"1.7 | 1.8"
"United States";"USA";"USL League Two";"01-07-2026 19:00";"NS";"Real Central New Jersey";"";"";"Delaware FC";"2 | 1.2";"0.5 | 1.3";"2.5";"4";"50";"16";"8";"0";"3.8";"2.5";"0.5 | 1.3";"2 | 1.2"
"United States";"USA";"USL League Two";"01-07-2026 19:00";"NS";"Staten Island Athletic";"";"";"New Jersey Copa";"2 | 3.2";"2.3 | 2.2";"4.9";"4";"100";"71";"42";"29";"3.8";"4.6";"2.3 | 2.2";"2 | 2.8"
"United States";"USA";"USL League Two";"01-07-2026 19:00";"NS";"Weston";"";"";"Brevard Fire";"3.1 | 1.6";"2.6 | 1.6";"4.4";"4";"66";"66";"56";"36";"3.8";"4.2";"2.3 | 1.6";"3.1 | 1.4"
"United States";"USA";"USL League Two";"01-07-2026 19:30";"NS";"Port City";"";"";"Salem City";"";"";"";"4";"";"";"";"";"3.8";"";"";""
